,,,,,,,Presidents-fixed,Party,Vice-fixed,Vice-fixed
1,,"April 30, 1789",#VALUE!,"April 30, 1789","March 4, 1797","March 4, 1797",George Washington,Nonpartisan   [13],John Adams,John Adams
2,,"March 4, 1797",,"March 4, 1797","March 4, 1801","March 4, 1801",John Adams,Federalist,Thomas Jefferson,Thomas Jefferson
3,,"March 4, 1801",,"March 4, 1801","March 4, 1809","March 4, 1809",Thomas Jefferson,Democratic-  Republican,Aaron Burr,Aaron Burr
4,,"March 4, 1809",,"March 4, 1809","March 4, 1817","March 4, 1817",James Madison,Democratic-  Republican,George Clinton,George Clinton
5,,"March 4, 1817",,"March 4, 1817","March 4, 1825","March 4, 1825",James Monroe,Democratic-  Republican,Daniel D. Tompkins,Daniel D. Tompkins
6,,"March 4, 1825",,"March 4, 1825","March 4, 1829","March 4, 1829",John Quincy Adams,Democratic-  Republican,John C. Calhoun,John C. Calhoun
7,,"March 4, 1829",,"March 4, 1829","March 4, 1837","March 4, 1837",Andrew Jackson,Democratic,John C. Calhoun,John C. Calhoun
8,,"March 4, 1837",,"March 4, 1837","March 4, 1841","March 4, 1841",Martin Van Buren,Democratic,Richard Mentor Johnson,Richard Mentor Johnson
9,,"March 4, 1841",,"March 4, 1841","April 4, 1841","April 4, 1841",William Henry Harrison,Whig,John Tyler,John Tyler
10,,"April 4, 1841",,"April 4, 1841","March 4, 1845","March 4, 1845",John Tyler,Whig,Office vacant,Office vacant
11,,"March 4, 1845",,"March 4, 1845","March 4, 1849","March 4, 1849",James K. Polk,Democratic,George M. Dallas,George M. Dallas
12,,"March 4, 1849",,"March 4, 1849","July 9, 1850","July 9, 1850",Zachary Taylor,Whig,Millard Fillmore,Millard Fillmore
13,,"July 9, 1850",,"July 9, 1850","March 4, 1853","March 4, 1853",Millard Fillmore,Whig,Office vacant,Office vacant
14,,"March 4, 1853",,"March 4, 1853","March 4, 1857","March 4, 1857",Franklin Pierce,Democratic,William R. King,William R. King
15,,"March 4, 1857",,"March 4, 1857","March 4, 1861","March 4, 1861",James Buchanan,Democratic,John C. Breckinridge,John C. Breckinridge
16,,"March 4, 1861",,"March 4, 1861","April 15, 1865","April 15, 1865",Abraham Lincoln,Republican,Hannibal Hamlin,Hannibal Hamlin
17,,"April 15, 1865",,"April 15, 1865","March 4, 1869","March 4, 1869",Andrew Johnson,National Union   [i]   ( Democratic )   [j],Office vacant,Office vacant
18,,"March 4, 1869",,"March 4, 1869","March 4, 1877","March 4, 1877",Ulysses S. Grant,Republican,Schuyler Colfax,Schuyler Colfax
19,,"March 4, 1877",,"March 4, 1877","March 4, 1881","March 4, 1881",Rutherford B. Hayes,Republican,William A. Wheeler,William A. Wheeler
20,,"March 4, 1881",,"March 4, 1881","September 19, 1881","September 19, 1881",James A. Garfield,Republican,Chester A. Arthur,Chester A. Arthur
21,,"September 19, 1881",,"September 19, 1881","March 4, 1885","March 4, 1885",Chester A. Arthur,Republican,Office vacant,Office vacant
22,,"March 4, 1885",,"March 4, 1885","March 4, 1889","March 4, 1889",Grover Cleveland,Democratic,Thomas A. Hendricks,Thomas A. Hendricks
23,,"March 4, 1889",,"March 4, 1889","March 4, 1893","March 4, 1893",Benjamin Harrison,Republican,Levi P. Morton,Levi P. Morton
24,,"March 4, 1893",,"March 4, 1893","March 4, 1897","March 4, 1897",Grover Cleveland,Democratic,Adlai Stevenson,Adlai Stevenson
25,,"March 4, 1897",,"March 4, 1897",9/14/1901,9/14/1901,William Mckinley,Republican,Garret Hobart,Garret Hobart
26,,9/14/1901,,9/14/1901,3/4/1909,4/3/1909,Theodore Roosevelt,Republican,Office vacant,Office vacant
27,,4/3/1909,,3/4/1909,3/4/1913,4/3/1913,William Howard Taft,Republican,James S. Sherman,James S. Sherman
28,,4/3/1913,,3/4/1913,3/4/1921,4/3/1921,Woodrow Wilson,Democratic,Thomas R. Marshall,Thomas R. Marshall
29,,4/3/1921,,3/4/1921,8/2/1923,2/8/1923,Warren G. Harding,Republican,Calvin Coolidge,Calvin Coolidge
30,,2/8/1923,,8/2/1923,3/4/1929,4/3/1929,Calvin Coolidge,Republican,Office vacant,Office vacant
31,,4/3/1929,,3/4/1929,3/4/1933,4/3/1933,Herbert Hoover,Republican,Charles Curtis,Charles Curtis
32,,4/3/1933,,3/4/1933,1/20/1941,1/20/1941,Franklin D. Roosevelt,Democratic,John Nance Garner,John Nance Garner
33,,12/4/1945,,4/12/1945,1/20/1953,1/20/1953,Harry S. Truman,Democratic,Office vacant,Office vacant
34,,1/20/1953,,1/20/1953,1/20/1961,1/20/1961,Dwight D. Eisenhower,Republican,Richard Nixon,Richard Nixon
35,,1/20/1961,,1/20/1961,11/22/1963,11/22/1963,John F. Kennedy,Democratic,Lyndon B. Johnson,Lyndon B. Johnson
36,,11/22/1963,,11/22/1963,1/20/1969,1/20/1969,Lyndon B. Johnson,Democratic,Office vacant,Office vacant
37,,1/20/1969,,1/20/1969,8/9/1974,9/8/1974,Richard Nixon,Republican,Spiro Agnew,Spiro Agnew
38,,9/8/1974,,8/9/1974,1/20/1977,1/20/1977,Gerald Ford,Republican,Office vacant,Office vacant
39,,1/20/1977,,1/20/1977,1/20/1981,1/20/1981,Jimmy Carter,Democratic,Walter Mondale,Walter Mondale
40,,1/20/1981,,1/20/1981,1/20/1989,1/20/1989,Ronald Reagan,Republican,George H. W. Bush,George H. W. Bush
41,,1/20/1989,,1/20/1989,1/20/1993,1/20/1993,George H. W. Bush,Republican,Dan Quayle,Dan Quayle
42,,1/20/1993,,1/20/1993,1/20/2001,1/20/2001,Bill Clinton,Democratic,Al Gore,Al Gore
43,,1/20/2001,,1/20/2001,1/20/2009,1/20/2009,George W. Bush,Republican,Dick Cheney,Dick Cheney
44,,1/20/2009,,1/20/2009,,,Barack Obama,Democratic,Joe Biden,Joe Biden
45,,1/20/2017,,1/20/2017,--,--,Donald Trump,Republican,Mike Pence,Mike Pence
